"","total_energy","Sex","Age","Lifestage","with.pup","pup_cost","Growth","perc_time_activity","min_per_day_activity","actual_costs_activity","new_perc_time_forage","metabolic_rates_forage","time_needed_to_forage","metabolic_rates_rest","foraging_cost","new_perc_time_rest","new_min_per_day_rest","new_resting_cost"
"12",14797.4396066207,"F",4,"adult","yes",3931,11.12,0.06,92.45,935.44608,0.425103507390509,9.588,612.149050642333,5.508,5869.28509755869,0.514896492609491,735.400949357667,4050.58842906203
"13",16401.3701473209,"M",4,"adult","no",0,24.25,0.24,345.6,5242.89024,0.501392603891236,11.6487,722.00534960338,7.3143,8410.42371592489,0.258607396108764,372.39465039662,2723.806191396
"14",12465.9916926493,"F",5,"adult","no",0,6.41,0.09,125.28,1302.912,0.629874828500483,9.776,907.019753040696,5.616,8867.02510572584,0.280125171499517,407.700246959304,2289.64458692345
"15",15070.8031108313,"F",5,"adult","yes",3931,6.41,0.06,92.45,953.78816,0.435991611717292,9.776,627.827920872901,5.616,6137.64575445348,0.504008388282708,719.722079127099,4041.95919637779
"16",17077.8630063793,"M",5,"adult","no",0,15.21,0.24,345.6,5419.008,0.52238048834005,12.04,752.227903209672,7.56,9056.82395464445,0.23761951165995,342.172096790327,2586.82105173488
"17",12670.6952726732,"F",6,"adult","no",0,3.88,0.09,125.28,1317.9456,0.640349119513294,9.8888,922.102732099144,5.6808,9118.48949718201,0.269650880486706,392.617267900856,2230.38017549118
"18",15236.6957008076,"F",6,"adult","yes",3931,3.88,0.06,92.45,964.793408,0.442586253169814,9.8888,637.324204564533,5.6808,6302.37159409775,0.497413746830186,710.225795435467,4034.6506987098
"19",17514.9278153157,"M",6,"adult","no",0,9.59,0.24,345.6,5531.25888,0.535933474888298,12.2894,771.744203839149,7.7166,9484.27321866084,0.224066525111702,322.655796160851,2489.80571665482
"20",12791.1380609947,"F",7,"adult","no",0,2.47,0.09,125.28,1326.7152,0.646507952502811,9.9546,930.971451604048,5.7186,9267.44841213766,0.263492047497189,383.748548395952,2194.50444885709
"21",15334.0852414381,"F",7,"adult","yes",3931,2.47,0.06,92.45,971.213136,0.446454771836324,9.9546,642.894871444306,5.7186,6399.76128727949,0.493545228163676,704.655128555694,4029.64081815859
"22",17788.4868846229,"M",7,"adult","no",0,6.09,0.24,345.6,5600.93184,0.544415757911323,12.4442,783.958691392305,7.8138,9755.73874742412,0.215584242088677,310.441308607695,2425.72629719881
"23",12877.796207959,"F",8,"adult","no",0,1.65,0.09,125.28,1332.9792,0.650929370294065,10.0016,937.338293223453,5.7456,9374.88267350369,0.259070629705935,377.381706776547,2168.28433445533
"24",15404.087604799,"F",8,"adult","yes",3931,1.65,0.06,92.45,975.798656,0.449227833385381,10.0016,646.888080074948,5.7456,6469.9158216776,0.490772166614619,700.661919925052,4025.72312712138
"25",17964.2243594024,"M",8,"adult","no",0,3.89,0.24,345.6,5645.44512,0.549863390523588,12.5431,791.803282353966,7.8759,9931.66775089404,0.210136609476412,302.596717646034,2383.2214885084
"26",12929.9703878507,"F",9,"adult","no",0,1.16,0.09,125.28,1336.7376,0.653591177862828,10.0298,941.171296122472,5.7618,9439.75986584917,0.256408822137172,373.548703877528,2152.31292200154
"27",15446.1919754822,"F",9,"adult","yes",3931,1.16,0.06,92.45,978.549968,0.450895621401218,10.0298,649.289694817754,5.7618,6512.24578108311,0.489104378598782,698.260305182245,4023.23622639906
"28",18079.262699301,"M",9,"adult","no",0,2.49,0.24,345.6,5674.47552,0.553428200570124,12.6076,796.936608820979,7.9164,10047.4579893714,0.206571799429876,297.463391179022,2354.83918992961
"29",12973.6492283952,"F",10,"adult","no",0,0.85,0.09,125.28,1339.8696,0.655814505154801,10.0533,944.372887422913,5.7753,9494.06394912877,0.254185494845199,370.347112577087,2138.86567926645
"30",15481.4353022502,"F",10,"adult","yes",3931,0.85,0.06,92.45,980.842728,0.452287715451502,10.0533,651.294310250163,5.7753,6547.65708923797,0.487712284548498,696.255689749837,4021.08548501223
"31",18148.3949331422,"M",10,"adult","no",0,1.61,0.24,345.6,5691.89376,0.555571655335926,12.6463,800.023183683733,7.9407,10117.3331878196,0.204428344664074,294.376816316267,2337.55798532258
"32",13008.6972919347,"F",11,"adult","no",0,0.64,0.09,125.28,1342.3752,0.657596551423029,10.0721,946.939034049162,5.7861,9537.66464484656,0.252403448576971,367.780965950838,2128.01744708814
"33",15509.7060236509,"F",11,"adult","yes",3931,0.64,0.06,92.45,982.676936,0.453402880283827,10.0721,652.90014760871,5.7861,6576.07557672969,0.486597119716173,694.64985239129,4019.31351092124
"34",18194.5621009386,"M",11,"adult","no",0,1.04,0.24,345.6,5703.50592,0.557002533906099,12.6721,802.083648824783,7.9569,10164.0842062725,0.202997466093901,292.316351175217,2325.93197466608
"35",13026.2087060268,"F",12,"adult","no",0,0.5,0.09,125.28,1343.628,0.658488705326798,10.0815,948.223735670589,5.7915,9559.51759116304,0.251511294673202,366.496264329411,2122.56311486378
"36",15523.8190917595,"F",12,"adult","yes",3931,0.5,0.06,92.45,983.59404,0.453960960042647,10.0815,653.703782461412,5.7915,6590.31468288472,0.486039039957353,693.846217538588,4018.41036887473
"37",18225.387968695,"M",12,"adult","no",0,0.68,0.24,345.6,5711.24736,0.5579573027115,12.6893,803.458515904561,7.9677,10195.3261458677,0.2020426972885,290.941484095439,2318.13446282723
