"","total_energy","Sex","Age","Lifestage","with.pup","pup_cost","Growth","perc_time_activity","min_per_day_activity","actual_costs_activity","new_perc_time_forage","metabolic_rates_forage","time_needed_to_forage","metabolic_rates_rest","foraging_cost","new_perc_time_rest","new_min_per_day_rest","new_resting_cost"
"12",14185.3243831018,"F",4,"adult","yes",3931,11.12,0.06,92.45,935.44608,0.320917228877616,9.588,462.120809583766,5.508,4430.81432228915,0.619082771122385,885.429190416234,4876.94398081261
"13",15662.5320815266,"M",4,"adult","no",0,24.25,0.24,345.6,5242.89024,0.383018206019571,11.6487,551.546216668182,7.3143,6424.79641410265,0.376981793980429,542.853783331818,3970.59542742392
"14",11470.2778166791,"F",5,"adult","no",0,6.41,0.09,125.28,1302.912,0.463656566619768,9.776,667.665455932466,5.616,6527.09749719579,0.446343433380232,647.054544067534,3633.85831948327
"15",14427.8583653771,"F",5,"adult","yes",3931,6.41,0.06,92.45,953.78816,0.328662427446766,9.776,473.273895523344,5.616,4626.72560263621,0.611337572553234,874.276104476656,4909.9346027409
"16",16277.3876874765,"M",5,"adult","no",0,15.21,0.24,345.6,5419.008,0.398298872686705,12.04,573.550376668855,7.56,6905.54653509301,0.361701127313295,520.849623331145,3937.62315238346
"17",11642.9551835286,"F",6,"adult","no",0,3.88,0.09,125.28,1317.9456,0.470741611138941,9.8888,677.867920040074,5.6808,6703.30028769229,0.439258388861059,636.852079959926,3617.82929583635
"18",14574.7318749787,"F",6,"adult","yes",3931,3.88,0.06,92.45,964.793408,0.333342645453547,9.8888,480.013409453107,5.6808,4746.75660339988,0.606657354546453,867.536590546893,4928.30186357879
"19",16673.4018246383,"M",6,"adult","no",0,9.59,0.24,345.6,5531.25888,0.408135834693783,12.2894,587.715601959048,7.7166,7222.67211871552,0.351864165306217,506.684398040952,3909.88082592281
"20",11744.349785913,"F",7,"adult","no",0,2.47,0.09,125.28,1326.7152,0.474898816020263,9.9546,683.854295069179,5.7186,6807.49596569565,0.435101183979737,630.865704930821,3607.66862021739
"21",14660.8432434593,"F",7,"adult","yes",3931,2.47,0.06,92.45,971.213136,0.336084336221816,9.9546,483.961444159415,5.7186,4817.64259202931,0.603915663778184,863.588555840585,4938.51751542997
"22",16920.7724295275,"M",7,"adult","no",0,6.09,0.24,345.6,5600.93184,0.414280244196486,12.4442,596.56355164294,7.8138,7423.75614935508,0.345719755803514,497.83644835706,3889.99444017239
"23",11817.2344703487,"F",8,"adult","no",0,1.65,0.09,125.28,1332.9792,0.477879274741005,10.0016,688.146155627048,5.7456,6882.56259011948,0.432120725258995,626.573844372952,3600.04268022923
"24",14722.7060101258,"F",8,"adult","yes",3931,1.65,0.06,92.45,975.798656,0.338047931372348,10.0016,486.789021176181,5.7456,4868.66907419569,0.601952068627652,860.760978823819,4945.58827993014
"25",17079.4896486348,"M",8,"adult","no",0,3.89,0.24,345.6,5645.44512,0.418221484305779,12.5431,602.238937400321,7.8759,7553.94321570597,0.341778515694221,492.161062599679,3876.21131292881
"26",11861.0769182707,"F",9,"adult","no",0,1.16,0.09,125.28,1336.7376,0.479671981130692,10.0298,690.727652828196,5.7618,6927.86021233624,0.430328018869308,623.992347171804,3595.3191059345
"27",14759.8928959555,"F",9,"adult","yes",3931,1.16,0.06,92.45,978.549968,0.339228193330787,10.0298,488.488598396333,5.7618,4899.44294419554,0.600771806669213,859.061401603667,4949.73998376001
"28",17183.3053182945,"M",9,"adult","no",0,2.49,0.24,345.6,5674.47552,0.42079846282734,12.6076,605.949786471369,7.9164,7639.57252791644,0.33920153717266,488.450213528631,3866.76727037805
"29",11897.7736423274,"F",10,"adult","no",0,0.85,0.09,125.28,1339.8696,0.481168450068731,10.0533,692.882568098973,5.7753,6965.75632186941,0.428831549931269,621.837431901027,3591.297720458
"30",14791.0189059751,"F",10,"adult","yes",3931,0.85,0.06,92.45,980.842728,0.340212953706152,10.0533,489.906653336859,5.7753,4925.17855799144,0.599787046293848,857.643346663141,4953.14761998364
"31",17245.6572309253,"M",10,"adult","no",0,1.61,0.24,345.6,5691.89376,0.422347160671054,12.6463,608.179911366318,7.9407,7691.22561311187,0.337652839328946,486.220088633682,3860.92785781348
"32",11927.2103653149,"F",11,"adult","no",0,0.64,0.09,125.28,1342.3752,0.48236729618961,10.0721,694.608906513038,5.7861,6996.17036728997,0.42763270381039,620.111093486962,3588.02479802491
"33",14815.9830251894,"F",11,"adult","yes",3931,0.64,0.06,92.45,982.676936,0.341001554510387,10.0721,491.042238494957,5.7861,4945.82653034506,0.598998445489613,856.507761505043,4955.83955884433
"34",17287.2846389266,"M",11,"adult","no",0,1.04,0.24,345.6,5703.50592,0.423380674162309,12.6721,609.668170793725,7.9569,7725.77602711516,0.336619325837691,484.731829206275,3856.96269181141
"35",11941.9075315731,"F",12,"adult","no",0,0.5,0.09,125.28,1343.628,0.482967277190679,10.0815,695.472879154578,5.7915,7011.40983119688,0.427032722809321,619.247120845422,3586.36970037626
