"total_energy","Sex","Age","Lifestage","with.pup","pup_cost","Growth","perc_time_activity","min_per_day_activity","actual_costs_activity","new_perc_time_forage","metabolic_rates_forage","time_needed_to_forage","metabolic_rates_rest","foraging_cost","new_perc_time_rest","new_min_per_day_rest","new_resting_cost"
17377.2505166414,"M",16,"adult","no",0,0.128,0.24,345.6,5704.349184,0.425866116066464,12.83772,613.247207135708,7.89786,7872.69593599022,0.334133883933536,481.152792864292,3800.07739665118
12052.7310358978,"F",17,"adult","no",0,0.195,0.087,125.28,1340.5473648,0.485590870577933,10.18369,699.250853632224,5.83463,7120.95392562594,0.427409129422067,615.469146367776,3591.03474547182
17927.9752328004,"F",17,"adult","yes",3931,0.195,0.064,92.16,1204.4123136,0.504901457311975,12.46587,727.058098529244,6.00687,9063.41173871275,0.431098542688025,620.781901470756,3728.95618048764
17377.1984377989,"M",17,"adult","no",0,0.085,0.24,345.6,5704.349184,0.425864839764764,12.83772,613.24536926126,7.89786,7872.67234187266,0.334135160235236,481.15463073874,3800.09191192627
12060.1832280623,"F",18,"adult","no",0,0.168,0.087,125.28,1341.1700064,0.485891110952509,10.18842,699.683199771613,5.83734,7128.6663062171,0.427108889047491,615.036800228387,3590.17891544517
17936.7483367989,"F",18,"adult","yes",3931,0.168,0.064,92.16,1204.9717248,0.505148526169972,12.47166,727.41387768476,6.00966,9072.05856176591,0.430851473830028,620.42612231524,3728.55005023301
17377.1645259945,"M",18,"adult","no",0,0.057,0.24,345.6,5704.349184,0.425864008684587,12.83772,613.244172505806,7.89786,7872.65697826123,0.334135991315413,481.155827494194,3800.1013637333
12060.1524616255,"F",19,"adult","no",0,0.145,0.087,125.28,1341.1700064,0.485889871407649,10.18842,699.681414827015,5.83734,7128.64812045185,0.427110128592351,615.038585172985,3590.18933477367
17936.717174186,"F",19,"adult","yes",3931,0.145,0.064,92.16,1204.9717248,0.505147648967679,12.47166,727.412614513458,6.00966,9072.04280792291,0.430852351032321,620.427385486542,3728.55764146305
17384.2569761223,"M",19,"adult","no",0,0.038,0.24,345.6,5706.277632,0.426037824109899,12.84206,613.494466718254,7.90053,7878.53275126382,0.333962175890101,480.905533281746,3799.40859285843
